customer_tweet_id,customer_text,customer_created_at,support_tweet_id,support_text,support_created_at
730,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7",Tue Oct 31 20:46:35 +0000 2017,729,"@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",Tue Oct 31 20:55:34 +0000 2017
751,@AppleSupport ? hello,Tue Oct 31 22:08:39 +0000 2017,750,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj,Tue Oct 31 22:18:00 +0000 2017
758,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,Tue Oct 31 22:10:06 +0000 2017,757,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT,Tue Oct 31 22:16:31 +0000 2017
1770,@AppleSupport why is my home sharing not working and how do i fix it,Tue Oct 31 22:07:33 +0000 2017,1769,@116101 We're happy to help. Has Home Sharing worked with these devices before?,Tue Oct 31 22:14:00 +0000 2017
2620,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,Tue Oct 31 22:47:13 +0000 2017,2618,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,Tue Oct 31 22:56:00 +0000 2017
2671,@AppleSupport @AppleSupport ^^check this out,Tue Oct 31 22:41:59 +0000 2017,2669,@116349 Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:46:26 +0000 2017
3777,"@AppleSupport I've also forced the app to close from the background and reopened, no dice 🎲",Tue Oct 31 22:53:05 +0000 2017,3775,@116625 Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,Tue Oct 31 23:00:52 +0000 2017
4870,@AppleSupport iPhone 6 and yes it’s got the latest software update,Wed Nov 01 04:36:30 +0000 2017,4872,"@116853 Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",Wed Nov 01 12:37:25 +0000 2017
4881,@AppleSupport iOS 11.1,Tue Oct 31 23:28:28 +0000 2017,4883,@116856 Are all of your apps updated as well?,Tue Oct 31 23:37:00 +0000 2017
8304,@116333 @115858  can your team let me know why my new iPhone 6 always has hanging problem I do not know what the problem is by I know I feel I am cheated by apple for phone 📱 do I ?,Sun Nov 05 21:52:45 +0000 2017,8303,@117457 We'd be concerned with an unresponsive device too. Let us know your iOS version in DM and we'll help: https://t.co/GDrqU22YpT,Sun Nov 05 23:12:28 +0000 2017
8340,@AppleSupport only 8 attempts to open the twitter app and complain about the iOS 11 messing up my iPhone 7 - this is slowing down my life :(,Sun Nov 05 20:16:27 +0000 2017,8339,@117466 We'd like to look into this with you. Please DM us details and we'll be glad to work with you towards a resolution. https://t.co/GDrqU22YpT,Sun Nov 05 23:10:00 +0000 2017
8545,what the fuck @115858? https://t.co/oHhvAW2pqh,Tue Oct 31 23:37:19 +0000 2017,8543,"@117501 We're here for you. Let's work together to locate your photos. Did you just recently restore your device, by any chance?",Tue Oct 31 23:55:00 +0000 2017
8573,@AppleSupport Thank you.,Tue Oct 31 23:56:34 +0000 2017,8575,"@117508 You are most welcome. If there is anything we can do to assist you in the future, please don't hesitate to reach back out.",Wed Nov 01 00:04:25 +0000 2017
9195,@AppleSupport I bought an iPhone 8 with AppleCare+. Wanting to return the iPhone 8. What happens with the AppleCare+?,Tue Oct 31 23:50:33 +0000 2017,9194,@117653 Thanks for contacting us. We'd like to gather some info to help out. Let's meet in DM. https://t.co/GDrqU22YpT,Wed Nov 01 00:02:25 +0000 2017
